"id","sku_name","base_price","cogs","category"
P290209,GMZV_Switch-Console-with-2-Games,4487400.0,3904040.0,Entertainment
P850692,Epson_L1800,4476150.0,4028510.0,Computing
P178030,Xpert_XDW-60-1W,4466000.0,3706780.0,Appliances
P786178,Samsung_Samsung Air Conditioner Digital Inverter Series) - AR12K,4436940.0,2839620.0,Appliances
P491032,Dawlance_Inverter-45 2.0 ton,4413220.0,3177470.0,Appliances
P816897,Dell_Inspiron-15-5567-ci7-4GB,4410320.0,2646190.0,Computing
P751549,samsungGALAXY S-7 EDGE 32GB LTE,4408000.0,3879040.0,Mobiles & Tablets
P501330,sony_DSLR-ILCE-6000L,4408000.0,3438240.0,Entertainment
P297640,sony_SLT-A58Y,4408000.0,3306000.0,Entertainment
P950932,lenovo_80J2001AUE,4395240.0,2681050.0,Computing
P497003,Samsung_RT39K5110SP,4378940.0,3371770.0,Appliances
P957169,sony_DSLR-ILCE-5000Y,4374940.0,3281180.0,Entertainment
P353733,iPhone7-Matte Black -32GB,4364960.0,3535560.0,Mobiles & Tablets
P875936,MotoZ-White-Fine Gold,4349940.0,3044940.0,Mobiles & Tablets
P235780,Apple iPad Mini 3 Wifi 128GB-Space Grey,4349940.0,3914940.0,Computing
P260048,samsungGALAXY S-7 EDGE 32GB Black,4336080.0,3035260.0,Mobiles & Tablets
P833513,Samsung_S7 Edge-Silver,4336080.0,3815700.0,Mobiles & Tablets
P192415,Samsung_S7 Edge-Black,4336080.0,2818450.0,Mobiles & Tablets
P329412,Dawlance_Inverter30Toscana,4332600.0,3812690.0,Appliances
P139750,Haier_HSU-18HZE-R2-DB DC Inverter,4292000.0,3519440.0,Others
P721438,AYS_A-C -18-LNF,4275180.0,3462890.0,Appliances
P616714,dawlance_Toscana30 INVERTER 1.5 Ton AC,4216600.0,3246780.0,Appliances
P669465,AYS_Gree-18cith2,4215440.0,2950810.0,Appliances
P757482,RM_Panasonic-SC-MAX6000,4205000.0,3237850.0,Entertainment
P216553,HP_ 15-AB204TU ,4196880.0,2643990.0,Computing
P923065,Gree_24CZ8,4196300.0,3734680.0,Appliances
P197154,samsungGALAXY NOTE-5 LTE 32GB,4176000.0,2589120.0,Mobiles & Tablets
P505336,huawei_Google Nexus 6P-Silver,4176000.0,2505600.0,Mobiles & Tablets
P383728,Samsung GALAXY NOTE-5,4175940.0,2964900.0,Mobiles & Tablets
P505304,ahp_EOS-750D-24.2-MP-Digital-SLR-Camera-Black,4175940.0,2756100.0,Entertainment
P396546,R&I_Generator 6KVG,4151640.0,3404310.0,Appliances
P136965,Samsung_48inchesK5000,4117940.0,3335520.0,Entertainment
P572907,lenovo_20EV0002UE,4090510.0,2740620.0,Computing
P298843,sukoonbundle-sukoon10-cj_CJPOISL,4065220.0,2642360.0,Others
P683554,cj_CJPOISL,4060000.0,3410400.0,Others
P133996,RM_Panasonic-TH-49D310M,4060000.0,3369800.0,Entertainment
P710606,Changhong Ruba 55 Inches C5000i Smart LED TV_clear,4059940.0,2720140.0,Entertainment
P386755,Changhong Ruba 50 Inches D4000i Smart LED,4054200.0,2594690.0,Entertainment
P166285,plk_FWI/ 947 929_48,4020560.0,2693750.0,Men Fashion
P311129,GMZV_PS4 VR Headset Bundle,4017370.0,3213900.0,Entertainment
P561991,apple_MACMINI 1.4 GHZ DUAL CORE i5,4002000.0,3241620.0,Computing
P963131,HP_Core-i5-6200U,3949800.0,3475820.0,Computing
P696943,interwood_HF-01CHS-MG-39739,3944000.0,2839680.0,Home & Living
P976467,IKEA_70272059,3944000.0,2445280.0,Home & Living
P793709,Huawei_P9 PLUS,3943940.0,2602980.0,Mobiles & Tablets
P482074,TLC_TAC-24CS/JET 2 ton,3897310.0,2494230.0,Appliances
P206280,huawei_Mate-9-Black,3891800.0,3152360.0,Mobiles & Tablets
P493127,huawei_Mate 9-gold,3891800.0,2996690.0,Mobiles & Tablets
P119880,huawei_Mate 9-mocjha brown,3891800.0,2335080.0,Mobiles & Tablets
P451876,gree_12CIT,3887160.0,3420670.0,Appliances
P896277,yamaha_EF2600FW (RECOIL),3886000.0,3497400.0,Appliances
P531159,Samsung Galaxy S6 Edge Plus,3885940.0,3186460.0,Mobiles & Tablets
P667087,Dell_Inspiron-15-3567-ci7-,3866860.0,2668120.0,Computing
P167621,Gmart_Fenix 3 HR 1,3857000.0,3278450.0,Health & Sports
P290807,TLC_TAC-18CHS/KEI 1.5 ton,3848300.0,2809230.0,Appliances
P264924,Dell_Inspiron-15-5567-ci5,3806250.0,3006890.0,Computing
P775406,R&I_HGR 6.05 KV D,3799000.0,2849250.0,Appliances
P177815,Kenwood_KDC-1814,3787400.0,3105670.0,Appliances
P857130,HAIER_HSU-18HNH,3782820.0,2837070.0,Appliances
P162270,Naushemian_#0029-Pstachio Green-M,3770000.0,3317600.0,Women Fashion
P229136,samsung_G935F-Gold,3770000.0,2676700.0,Mobiles & Tablets
P508653,Kenwood_KENWOOD DC INVERTER 5 STAR 1.5 Ton,3764200.0,2446730.0,Appliances
P221984,R&I_eInverter Series 18000BTU,3763910.0,3048710.0,Appliances
P862391,lenovo_20ET000M00,3758110.0,2968900.0,Computing
P208095,Haier_HSU-24LKE,3741000.0,2656110.0,Appliances
P466269,iPhone SE-64GB,3740940.0,2506410.0,Mobiles & Tablets
P281278,plk_FWI/ 987 594_50,3714900.0,2377540.0,School & Education
P887375,Ifitness_RT112,3712000.0,2375680.0,Health & Sports
P972345,Huawei Mate 8 With 4GB Ram,3711940.0,3303620.0,Mobiles & Tablets
P916538,Epson_L1300,3708810.0,2818680.0,Computing
P201461,HP_ 15-AC110TU Ã‚Â ,3695760.0,3141400.0,Computing
P182103,Honda_BikeCD70-Red,3683000.0,3167380.0,Superstore
P239399,Honda_BikeCD70-Black,3683000.0,3130550.0,Superstore
P634801,Honda_Bike CD 70 - Black,3683000.0,2578100.0,Superstore
P314978,R&I_Generator 5KVG,3663280.0,3077130.0,Appliances
P852171,AYS_Orient-DC-Inverter-Plus-18,3663220.0,3296890.0,Appliances
P813029,mitsubishi_MS-F18VC-CS,3653940.0,2192340.0,Appliances
P293009,AYS_A-C-KDC-1804S2,3647560.0,2918040.0,Appliances
P600326,Samsung_S7 Edge-Gold,3632190.0,2397200.0,Mobiles & Tablets
P277750,dawlance_Toscana15 INVERTER 1.0 Ton AC,3625000.0,2900000.0,Appliances
P921070,LenovoB5180-i7,3625000.0,2718750.0,Computing
P118969,cc_Huawei-Mate-9-Brown,3624940.0,2682440.0,Mobiles & Tablets
P645210,cc_Huawei-Mate-9-Grey,3624940.0,2682440.0,Mobiles & Tablets
P539142,cc_samsung_G935F-Blue,3614560.0,2530190.0,Mobiles & Tablets
P500104,samsungGALAXY S-7 32GB LTE,3596000.0,2589120.0,Mobiles & Tablets
P327504,IKEA_10072256,3596000.0,2732960.0,Home & Living
P312809,AYS_Split-Orient-19k7,3595940.0,3020580.0,Appliances
P540013,dawlance_Inverter 30,3593680.0,3054630.0,Appliances
P284283,Electrolux_SEA2499,3578720.0,2827150.0,Appliances
P215868,Samsung_40J5200,3564680.0,3029980.0,Entertainment
P805699,RM_Panasonic-NA-127VB6,3561200.0,3027020.0,Appliances
P490827,APC_UPS 1 kv SUA10001,3550470.0,2911370.0,Appliances
P690224,Samsung_40K5300,3534520.0,2756910.0,Entertainment
P363520,HP_HD-Corei5-6200U2-3GHz-1TB-HDD,3494150.0,2306140.0,Computing
P584603,huawei_p10-Blue,3480000.0,2784000.0,Mobiles & Tablets
P400366,Naushemian_#0028-Offwhite-M,3480000.0,2644800.0,Women Fashion
P920906,Naushemian_#0028-Offwhite-L,3480000.0,2818800.0,Women Fashion
P882365,Dawlance_Inspire-Plus-Inverter-30-brown,3458310.0,3043260.0,Appliances
P934548,mitsubishi_1.5 ton SRC 18CLK,3456800.0,3076550.0,Appliances
P633273,mitsubishi_1.5 ton SRC 18CLK-CS,3456800.0,2834580.0,Appliances
P534748,Haier_HSU-18-HNF,3440850.0,2718230.0,Appliances
P626248,Apple iPad Air 2 16 GB 4G,3440850.0,2546200.0,Mobiles & Tablets
P985208,Apple iPhone 6 (16GB) Gold,3430760.0,2298600.0,Mobiles & Tablets
P882089,Samsung Galaxy S6 Edge 32GB SM-G925F,3422000.0,2977140.0,Mobiles & Tablets
P122683,Samsung Galaxy S6 Edge (32GB) SM-G925F Gold,3422000.0,3045580.0,Mobiles & Tablets
P923197,Xpert_XRH-SB-90,3422000.0,2361180.0,Appliances
P726605,Ifitness_JW901,3335000.0,2901450.0,Health & Sports
P156884,samsung_40J5100,3334940.0,2634590.0,Entertainment
P401988,AYS_PEL-PINVC-18K-Invert-O-Cool,3258150.0,2411000.0,Appliances
P587192,dawlance_91996-Cs,3236400.0,2524390.0,Appliances
P877152,HP_AB201TUN8L18PA,3219000.0,2832720.0,Others
P481645,samsung_A720-Black,3190000.0,2360600.0,Mobiles & Tablets
P624366, Huawei Mate 8,3189940.0,2360540.0,Mobiles & Tablets
P888366,Changhong Ruba 50 Inches D2100 LED TV,3184200.0,2133410.0,Entertainment
P986337,HP_15AY-15-Ay105NE-ci5,3172020.0,1934880.0,Computing
P970961,cc-hTC-One-A9-silver,3171440.0,2790840.0,Mobiles & Tablets
P490040,FHM_Fluffy Cocao-SOFA SET,3166800.0,2343430.0,Home & Living
P733468,R&I_eInverter Series 12000BTU,3145050.0,1918470.0,Appliances
P394310,gree_18LM4,3136640.0,2258350.0,Appliances
P748052,FHM_TWIRL1,3132000.0,2505600.0,Home & Living
P467257,Huawei_P9 OC,3131940.0,2693460.0,Mobiles & Tablets
P197854,HP_ 15-AB202TX _clear,3113210.0,2023560.0,Computing
P299813,AYS_Gree-12cith2,3109320.0,1927750.0,Appliances
P272094,s_tv_KLV-40R352C,3107060.0,2112770.0,Entertainment
P766982,gree_18CZ8,3077480.0,1846490.0,Appliances
P146139,plk_PD/ 988 873_60,3069360.0,2332700.0,Men Fashion
P551746,GMZV_PS4 Pro 1TB - Region 2,3052830.0,2594860.0,Entertainment
P140025,Kenwood_KDC-1214,3050800.0,2288100.0,Appliances
P564570,Lacie_STEX6000300-6TB,3045000.0,2101050.0,Computing
P402856,Samsung_A7-2017-Gold,3044940.0,1826940.0,Mobiles & Tablets
P867109,Samsung_A7-2017-Black,3044940.0,2253240.0,Mobiles & Tablets
P534021,HP_Laser MFP M426fdn (4 in 1) Black,3034040.0,2336180.0,Computing
P958194,dawlance_91996 - H-ZONE PLUS Refrigerator with Dawlance MD-7 20L,3026150.0,2360370.0,Appliances
P623453,dawlance_91996 - H-ZONE PLUS Refrigerator with Dawlance MD-5 20L,3026150.0,2511690.0,Appliances
P722616,FHM_Bloomy -SOFA SET,3016000.0,1869920.0,Home & Living
P803645,iPhone SE-16GB,3015940.0,1869860.0,Mobiles & Tablets
P203898,interwood_HF-15LCRS-A-39655,3004400.0,2463610.0,Home & Living
P415305,AYS_50U560,2983810.0,1879780.0,Entertainment
P323853,Lenovo_80QB005UUE,2978010.0,1905880.0,Computing
P422527,CL168_R&I_Generator 5KVG,2961710.0,2102790.0,Appliances
P948892,dawlance_Inspire Plus 30 White,2956260.0,2601470.0,Appliances
